,0
5-160_split_4,155
5-161_split_1,377
5-161_split_2,49
5-162_split_3,54
5-165_split_0,249
5-169_split_2,291
5-170_split_1,103
5-170_split_2,191
5-171_split_0,136
5-171_split_3,455
5-172_split_4,75
5-175_split_3,23
5-175_split_4,176
5-176_split_0,169
5-176_split_1,140
5-178_split_1,223
5-178_split_2,231
5-179_split_0,397
5-180_split_2,57
5-180_split_3,367
5-182_split_0,32
5-182_split_4,372
5-183_split_3,51
5-183_split_4,333
5-184_split_1,348
5-184_split_2,107
5-185_split_0,106
5-185_split_4,206
5-186_split_4,397
5-187_split_0,174
5-187_split_1,134
5-189_split_2,202
5-189_split_3,35
5-190_split_1,114
5-190_split_4,288
5-191_split_0,333
5-191_split_4,371
5-192_split_1,471
5-193_split_1,543
5-193_split_3,88
5-194_split_2,137
5-194_split_4,460
5-195_split_4,403
5-196_split_2,92
5-196_split_4,127
5-197_split_2,164
5-198_split_3,162
6-0_split_2,816
6-0_split_4,525
6-1_split_0,155
6-1_split_2,289
6-2_split_3,265
6-2_split_4,1140
6-3_split_4,220
6-5_split_0,178
6-5_split_3,646
6-8_split_2,839
6-8_split_3,720
6-10_split_3,444
6-10_split_4,466
6-12_split_3,22
6-12_split_4,313
6-14_split_0,491
6-14_split_3,81
6-17_split_0,437
6-17_split_2,283
6-19_split_0,926
6-19_split_3,85
6-21_split_4,636
6-22_split_0,226
6-22_split_3,196
6-23_split_2,164
6-26_split_0,901
6-27_split_2,1164
6-37_split_2,490
6-37_split_4,572
6-40_split_4,78
6-41_split_4,885
6-44_split_0,172
6-44_split_3,200
6-48_split_3,1127
6-48_split_4,60
6-51_split_1,1352
6-51_split_4,366
6-55_split_2,1086
6-58_split_1,153
6-58_split_3,883
6-60_split_0,732
6-60_split_4,407
6-63_split_1,580
6-65_split_1,831
6-65_split_2,659
6-66_split_0,288
6-66_split_4,1159
6-67_split_1,4
6-67_split_4,80
6-69_split_0,281
6-69_split_2,791
6-70_split_2,298
6-70_split_4,139
6-71_split_3,462
6-71_split_4,273
6-72_split_0,79
6-74_split_2,461
6-77_split_3,338
6-78_split_1,86
6-78_split_3,398
6-78_split_4,620
6-82_split_1,127
6-82_split_3,1090
6-84_split_1,288
6-84_split_3,900
6-85_split_3,660
6-89_split_4,807
6-93_split_0,839
6-93_split_1,45
6-93_split_2,548
6-98_split_2,1096
6-99_split_0,26
6-100_split_2,710
6-101_split_2,635
6-101_split_4,568
6-102_split_4,433
6-103_split_0,271
6-103_split_2,878
6-103_split_3,252
6-105_split_1,1050
6-105_split_2,433
6-106_split_0,568
6-106_split_4,135
6-108_split_0,1119
6-108_split_2,720
6-109_split_0,27
6-110_split_2,187
6-110_split_3,92
6-112_split_0,381
6-112_split_3,583
6-113_split_1,105
6-113_split_4,902
6-114_split_3,966
6-115_split_0,184
6-115_split_2,605
6-116_split_1,217
