,mean,min,max
386,4991.5,1949.0,8034.0
387,4983.5,700.0,9267.0
388,4982.0,964.0,9000.0
389,853.0,591.0,1115.0
390,1626.5,885.0,2368.0
391,490.0,63.0,917.0
392,26.5,0.0,53.0
393,1087.5,402.0,1773.0
394,2920.0,596.0,5244.0
395,1976.0,0.0,3952.0
396,4981.0,3761.0,6201.0
397,4308.5,2961.0,5656.0
398,27.0,16.0,38.0
399,4989.0,1217.0,8761.0
400,4200.0,264.0,8136.0
401,136.0,83.0,189.0
402,4979.5,1602.0,8357.0
403,1445.5,435.0,2456.0
404,4984.5,2553.0,7416.0
405,269.0,218.0,320.0
406,4699.5,1773.0,7626.0
407,4231.0,2027.0,6435.0
408,3574.5,2508.0,4641.0
409,2131.0,1393.0,2869.0
410,1691.5,575.0,2808.0
411,3865.5,3674.0,4057.0
412,711.0,340.0,1082.0
413,2557.5,310.0,4805.0
414,2464.5,2274.0,2655.0
415,4980.5,3361.0,6600.0
416,1673.5,934.0,2413.0
417,4974.0,326.0,9622.0
418,3441.0,1017.0,5865.0
419,806.5,512.0,1101.0
420,4981.0,1195.0,8767.0
421,3030.0,593.0,5467.0
422,2066.0,295.0,3837.0
423,50.0,0.0,100.0
424,3145.5,3002.0,3289.0
425,1493.0,554.0,2432.0
426,142.0,77.0,207.0
427,2412.5,700.0,4125.0
428,1581.5,1070.0,2093.0
429,1661.5,860.0,2463.0
430,284.5,260.0,309.0
431,4961.5,2311.0,7612.0
432,4943.5,4058.0,5829.0
433,205.5,161.0,250.0
434,2146.0,208.0,4084.0
435,308.5,266.0,351.0
436,4271.5,869.0,7674.0
437,361.0,260.0,462.0
438,3862.5,2918.0,4807.0
439,150.0,0.0,300.0
440,829.0,610.0,1048.0
441,3071.0,2799.0,3343.0
442,4985.5,3595.0,6376.0
443,1296.5,1118.0,1475.0
444,32.5,0.0,65.0
445,3521.5,3370.0,3673.0
446,2499.0,821.0,4177.0
447,247.0,174.0,320.0
448,4021.5,2704.0,5339.0
449,4969.5,2650.0,7289.0
450,3307.0,3073.0,3541.0
451,1150.0,47.0,2253.0
452,2382.0,2327.0,2437.0
453,403.5,69.0,738.0
454,147.5,124.0,171.0
455,502.0,106.0,898.0
456,4988.0,4306.0,5670.0
457,3607.5,3247.0,3968.0
