,mean,min,max
33-133,1665.8,260.0,4645.0
33-134,1979.2,41.0,5915.0
33-135,1680.6,210.0,3543.0
33-136,1579.0,702.0,2695.0
33-137,1978.6,259.0,3188.0
33-138,1736.6,863.0,2527.0
33-139,1623.6,372.0,2405.0
33-140,1266.8,269.0,3943.0
33-141,1410.8,359.0,2941.0
33-142,1511.0,199.0,4005.0
33-143,1231.4,81.0,3921.0
33-144,1346.0,513.0,2191.0
33-145,1972.4,130.0,3023.0
33-146,1481.2,154.0,2590.0
33-147,1498.6,424.0,5256.0
33-148,1507.0,206.0,3560.0
33-149,1690.8,1154.0,2290.0
33-150,1481.0,595.0,2139.0
33-151,1971.4,528.0,4822.0
33-152,1971.4,121.0,3550.0
33-153,1974.0,789.0,3197.0
33-154,1263.8,95.0,3243.0
33-155,1288.8,258.0,3974.0
33-156,1384.2,6.0,3120.0
33-157,1970.6,136.0,5585.0
33-158,1421.8,64.0,3115.0
33-159,1343.0,233.0,5004.0
33-160,1986.0,824.0,5163.0
33-161,1986.0,515.0,2923.0
33-162,921.4,174.0,3091.0
33-163,1975.2,341.0,4943.0
33-164,1976.6,429.0,3715.0
33-165,1973.6,599.0,3202.0
33-166,1985.2,418.0,3135.0
33-167,1981.0,76.0,4290.0
33-168,1975.6,400.0,3996.0
33-169,1975.2,342.0,4826.0
33-170,1977.0,543.0,4427.0
33-171,1986.8,99.0,6458.0
33-172,1979.0,754.0,4449.0
33-173,1987.2,395.0,3729.0
33-174,1979.8,678.0,3812.0
33-175,1985.8,453.0,4345.0
33-176,1982.2,463.0,3172.0
33-177,1978.6,129.0,5565.0
33-178,1987.4,242.0,3550.0
33-179,681.2,10.0,1804.0
33-180,1997.4,452.0,3802.0
33-181,1997.2,850.0,2933.0
33-182,1997.2,1172.0,2703.0
33-183,1997.4,200.0,4852.0
33-184,1997.0,956.0,2746.0
33-185,1997.2,8.0,5418.0
33-186,1997.0,1342.0,3688.0
33-187,1996.8,252.0,5671.0
33-188,1998.0,240.0,5661.0
33-189,1996.8,628.0,3778.0
33-190,1997.4,99.0,4480.0
